epoch,train_loss,val_psnr,val_ssim,val_lpips,baseline_psnr,baseline_ssim,baseline_lpips,lr,seconds
0,,,,,23.278916,0.562105,0.431241,0.001,
1,0.288151,25.723570,0.712227,0.356408,23.278916,0.562105,0.431241,0.001,435.29
2,0.241170,24.089938,0.722020,0.363396,23.278916,0.562105,0.431241,0.001,637.52
3,0.223540,25.831109,0.730755,0.371699,23.278916,0.562105,0.431241,0.001,396.23
4,0.220979,22.647222,0.732184,0.378269,23.278916,0.562105,0.431241,0.001,393.81
5,0.211087,23.162107,0.736298,0.356501,23.278916,0.562105,0.431241,0.001,394.63
6,0.207992,26.169970,0.733685,0.362602,23.278916,0.562105,0.431241,0.001,405.23
7,0.202484,25.303318,0.739694,0.327172,23.278916,0.562105,0.431241,0.001,404.70
8,0.204053,22.686574,0.728048,0.361623,23.278916,0.562105,0.431241,0.001,407.53
9,0.200052,26.999666,0.750035,0.329569,23.278916,0.562105,0.431241,0.001,401.50
10,0.194477,26.709675,0.747253,0.332168,23.278916,0.562105,0.431241,0.001,424.05
11,0.193543,25.629677,0.722329,0.335106,23.278916,0.562105,0.431241,0.001,433.51
12,0.188507,26.120978,0.749766,0.335303,23.278916,0.562105,0.431241,0.001,402.11
13,0.187212,26.475905,0.748801,0.323912,23.278916,0.562105,0.431241,0.001,395.93
14,0.185438,25.846588,0.751037,0.335266,23.278916,0.562105,0.431241,0.001,396.21
15,0.187604,26.957073,0.753802,0.328078,23.278916,0.562105,0.431241,0.001,395.28
16,0.182402,26.303760,0.753929,0.321229,23.278916,0.562105,0.431241,0.001,396.22
17,0.184209,26.626017,0.752855,0.328110,23.278916,0.562105,0.431241,0.001,396.52
18,0.182424,26.322480,0.753152,0.328658,23.278916,0.562105,0.431241,0.001,403.25
19,0.180093,27.073394,0.753780,0.311724,23.278916,0.562105,0.431241,0.001,398.27
20,0.179986,26.641948,0.755344,0.328464,23.278916,0.562105,0.431241,0.001,392.69
21,0.179082,26.242758,0.757027,0.321062,23.278916,0.562105,0.431241,0.001,392.74
22,0.177231,27.435524,0.756835,0.332776,23.278916,0.562105,0.431241,0.001,393.50
23,0.176178,27.238884,0.755131,0.323184,23.278916,0.562105,0.431241,0.001,392.61
24,0.176134,27.199832,0.748216,0.335201,23.278916,0.562105,0.431241,0.001,477.86
25,0.174955,26.960266,0.757458,0.328403,23.278916,0.562105,0.431241,0.001,403.11
26,0.175212,27.056849,0.746085,0.339140,23.278916,0.562105,0.431241,0.001,402.58
27,0.172367,27.055136,0.757017,0.325122,23.278916,0.562105,0.431241,0.001,394.21
28,0.177633,26.472358,0.753875,0.313230,23.278916,0.562105,0.431241,0.001,394.55
29,0.173246,26.927605,0.752332,0.318978,23.278916,0.562105,0.431241,0.001,394.10
30,0.172984,26.903527,0.756881,0.319334,23.278916,0.562105,0.431241,0.001,396.03
